overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,Positive/Negative
3,True,"04 19, 2018",AOZHQ15OKY2ZT,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Fixalot,"this shoe is just ok. its not as comfortable as i was expecting, compared to my last pair of nike shoes. i hope they hold up.",its not as comfortable as i was expecting,1524096000,,,1
5,True,"04 18, 2018",A2YZERYQTLB8NG,B001IKJOLW,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Lenci,best tennis shoes i've had all my life. very comfortable out the box. i would buy 10 pairs of these shoes if had the money.,very comfortable,1524009600,,['https://images-na.ssl-images-amazon.com/images/I/71MxdEmUNpL._SY88.jpg'],0
5,True,"04 18, 2018",A2EGVPBTNJI3HB,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Amazon Customer,the color pattern and fit is what i liked the most what i liked the least is that they are not easy to clean and stains do not come out very easy or at all,the color pattern and fit is what i liked the most what i liked the least is that ...,1524009600,,,0
5,True,"04 16, 2018",A1B3W4RSJ1CJEO,B001IKJOLW,"{'Size:': ' 6 B(M) US', 'Color:': ' Black/White-anthracite-stealth'}",Kteel717,"love these shoes. workout in them 3-4 times a week at the gym. i do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",great shoe for the price!,1523836800,,,0
5,True,"04 15, 2018",A3P9DECTULU1B3,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",JP,"great shoe. i've had nike's before and have always been pleased with the comfort, performance, and quality. though i will say this was the first time i ordered a pair online without trying them on first, so i was nervous. but this turned out to be a great choice. breathable, lightweight but sturdy, and comfortable during all my workouts. the built-in arch support is great and i've had no discomfort after 2 weeks of use. as far as the sole thickness and cushioning goes, i would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. everyone is different in their preference for cushioning, but i think for light runs on a treadmill they would be sufficient. love these, highly recommend!",great shoe!,1523750400,,,0
3,True,"04 13, 2018",A353OJ19SEMPT4,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Annette t.,the material is real then hope they don't fall apart . to expensive for what you get.,three stars,1523577600,,,1
3,True,"04 9, 2018",A1CIQ2ULKB933A,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Pablo Mateo,nice,three stars,1523232000,,,1
5,True,"04 9, 2018",A1TFZVGT6J5NYZ,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Sandra calleros,gracias,five stars,1523232000,,,0
5,True,"04 8, 2018",A2IJJUO99LXIXG,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Aline J Cone,love these shoes!! they are true to size and very comfortable!! this is my second pair - i wore out the first pair!! good arch support - i have a high arch!!,love these shoes,1523145600,,,0
5,True,"04 4, 2018",A1S4O68F0UG4GA,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",JAXJAG,great arch support and comfortable.,great cross trainer,1522800000,,,0
4,True,"04 3, 2018",A8C8Q1GQPYPR3,B001IKJOLW,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Natasha Henry,it looks a bit nicer on the picture. its very light in such a way that when i held the box i wondered if there was just paper filling inside. they are comfortable for the most. good looking training shoes overall.,they are comfortable for the most but just a bit narrow,1522713600,,,0
5,True,"04 3, 2018",A3RHNGQAZWUX01,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Masher41,second pair. comfortable and great for people with bunion issues or previous surgeries.  sole wears great,staple sneakers,1522713600,,,0
5,True,"03 31, 2018",A2ILUTAAPPZY79,B001IKJOLW,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Proud dad,my daughter loves these shoes. fit true to size.,great looking shoe,1522454400,,,0
5,True,"03 28, 2018",A21PLUMLST80EK,B001IKJOLW,"{'Size:': ' 7 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",The Lucky One,purchased for my daughter for gym class.  she loves them.  very cute and very comfortable.,great shoes.,1522195200,,,0
3,True,"03 27, 2018",A1R9CFF27RIALC,B001IKJOLW,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Danielle,great look but zero support inside the shoe. had to buy expensive inserts to be wearable. expected more from a nike shoe.,"style 10/10, comfort 3/10",1522108800,,,1
5,True,"03 22, 2018",A3KKVVAINMZF9D,B001IKJOLW,"{'Size:': ' 9 B(M) US', 'Color:': ' Blue Tint/Green Glow/Hasta/White'}",Nadege Marcellus,"straight out of the box, these shoes are great! very lightweight and fits comfortably on my feet like a glove! i love most especially that the sole is not bulky like my previous running shoes  i hated those things lol! i would give them a shot and they are great for the price!",these shoes are great! very lightweight and fits comfortably on my feet ...,1521676800,,"['https://images-na.ssl-images-amazon.com/images/I/61nv8h45pHL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71mOYBlBnAL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/619NiK+tIRL._SY88.jpg']",0
5,True,"03 22, 2018",AHQZL3LSIR57E,B001IKJOLW,"{'Size:': ' 9.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Donna Rische,great shoes. fit perfectly. comfortable right from the start. light weight and perfect for a 12 hour work shift. good price also.,great shoes. fit perfectly,1521676800,,,0
5,True,"03 21, 2018",A36UF843501J4Y,B001IKJOLW,"{'Size:': ' 6.5 B(M) US', 'Color:': ' Wolf Grey/Black-pink Blast/White'}",Alisha K. Casey,i love them! they fit perfect and are very comfortable!!,five stars,1521590400,,,0
5,True,"03 20, 2018",AJ74ZOS1UKOBA,B001IKJOLW,"{'Size:': ' 8 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",keith jones,love these lightweight shoes! absolute favorite. always order half a size bigger with nike shoes than with every other shoe in my closet.,perfect. lightweight and comfortable all day,1521504000,,,0
5,True,"03 19, 2018",A3UTTXFSBNV2V7,B001IKJOLW,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Black/White/Anthracite/Stealth'}",Mary,my knees were bothering me during hiit workouts so i  purchased these shoes after researching many styles.  fit true to size and are lightweight.  my knees feel better so so hard so good.  they are cute in too!!,my knees feel better so so hard so good,1521417600,,,0
5,True,"03 19, 2018",A2QPBIA0HKEL96,B001IKJOLW,"{'Size:': ' 8.5 B(M) US', 'Color:': ' Hyper Jade/Mtlc Silver/Hyper Turq'}",kristin,love the color!,five stars,1521417600,,,0
